project,finding_id,forecaster_id,response
RPP,1,ttpqb,0.5
RPP,1,ae9m0,0.51
RPP,1,oay7y,0.84
RPP,1,yzxxj,0.2
RPP,1,d7rtl,0.1
RPP,1,nugpa,0.1
RPP,1,yu92f,0.5
RPP,1,wxm49,0.15
RPP,1,sxo86,0.32
RPP,1,pyn29,0.1
RPP,1,8c3m2,0.51
RPP,1,94ear,0.25
RPP,1,ycxp2,0.34
RPP,1,2kjhx,0.45
RPP,1,6j4s9,0.18
RPP,1,z7yin,0.7
RPP,1,r9cox,0.4
RPP,1,jot2g,0.49
RPP,1,w0ft5,0.21
RPP,1,2vvfk,0.7
RPP,1,s4enp,0.91
RPP,1,hkqex,0.6
RPP,1,0cdhl,0.57
RPP,1,tjfzu,0.8
RPP,1,jsjzs,0.85
RPP,1,6pwgu,0.5
RPP,1,015of,0.5
RPP,1,bf142,0.41
RPP,1,bu93w,0.19
RPP,1,stih2,0.3
RPP,1,sk26t,0.4
RPP,1,f8hf1,0.65
RPP,1,7nfb4,0.81
RPP,1,u6szv,0.4
RPP,1,pv96u,0.9
RPP,1,vsbfd,0.95
RPP,1,hjnxe,0.6
RPP,1,bmfkj,0.42
RPP,1,kxzhv,0.2
RPP,1,z5oll,0.58
RPP,1,xpupr,0.9
RPP,1,37qus,0.19
RPP,1,lxg47,0.95
RPP,1,gaseo,0.59
RPP,1,5nbjz,0.4
RPP,1,2jerz,0.6
RPP,2,ttpqb,0.35
RPP,2,ae9m0,0.52
RPP,2,oay7y,0.61
RPP,2,yzxxj,0.15
RPP,2,d7rtl,0.8
RPP,2,nugpa,0.3
RPP,2,yu92f,0.51
RPP,2,wxm49,0.65
RPP,2,sxo86,0.4
RPP,2,pyn29,0.09
RPP,2,8c3m2,0.8
RPP,2,94ear,0.25
RPP,2,ycxp2,0.14
RPP,2,2kjhx,0.31
RPP,2,6j4s9,0.81
RPP,2,z7yin,0.9
RPP,2,r9cox,0.3
RPP,2,jot2g,0.4
RPP,2,w0ft5,0.03
RPP,2,2vvfk,0.71
RPP,2,s4enp,0.81
RPP,2,hkqex,0.8
RPP,2,0cdhl,0.81
RPP,2,tjfzu,0.2
RPP,2,jsjzs,0.8
RPP,2,6pwgu,0.19
RPP,2,015of,0.55
RPP,2,bf142,0.65
RPP,2,bu93w,0.02
RPP,2,stih2,0.19
RPP,2,sk26t,0.6
RPP,2,f8hf1,0.29
RPP,2,7nfb4,0.12
RPP,2,u6szv,0.19
RPP,2,pv96u,0.98
RPP,2,vsbfd,0.4
RPP,2,hjnxe,0.15
RPP,2,bmfkj,0.6
RPP,2,6il19,0.93
RPP,2,kxzhv,0.3
RPP,2,z5oll,0.81
RPP,2,xpupr,0.7
RPP,2,37qus,0.19
RPP,2,lxg47,0.8
RPP,2,gaseo,0.74
RPP,2,5nbjz,0.1
RPP,2,2jerz,0.84
RPP,3,ttpqb,0.8
RPP,3,ae9m0,0.63
RPP,3,oay7y,0.81
RPP,3,yzxxj,0.92
RPP,3,d7rtl,0.5
RPP,3,nugpa,0.8
RPP,3,yu92f,0.71
RPP,3,wxm49,0.65
RPP,3,sxo86,0.61
RPP,3,pyn29,0.6
RPP,3,8c3m2,0.71
RPP,3,94ear,0.25
RPP,3,ycxp2,0.65
RPP,3,2kjhx,0.69
RPP,3,6j4s9,0.81
RPP,3,z7yin,0.1
RPP,3,r9cox,0.6
RPP,3,jot2g,0.6
RPP,3,w0ft5,0.71
RPP,3,2vvfk,0.81
RPP,3,s4enp,0.51
RPP,3,hkqex,0.8
RPP,3,0cdhl,0.78
RPP,3,tjfzu,0.7
RPP,3,jsjzs,0.8
RPP,3,6pwgu,0.5
RPP,3,015of,0.75
RPP,3,bf142,0.66
RPP,3,bu93w,0.65
RPP,3,stih2,0.92
RPP,3,sk26t,0.6
RPP,3,f8hf1,0.8
RPP,3,7nfb4,0.67
RPP,3,u6szv,0.81
